"papel","cotacao","P/L","P/VP","PSR","div.yield","P/ativo","P/cap.giro","P/EBIT","P/ativ_circ.liq","EV/EBIT","EV/EBITDA","mrg_ebit","mrg.Liq","liq.corr","ROIC","ROE","liq.2meses","patrim.liq","div.brut/patrim","cresc.rec.5a","data"
"HBTS5",21.6,-3,0.85,8.257,0.0023,0.159,-1.4,-3.21,-0.24,-5.22,-5.35,-2.5693,-2.7476,0.56,-0.0501,-0.2816,16605.3,233449000,0.55,-0.2145,"2020-10-26T16:09:53.719Z"
"TESA3",16.95,-2.95,0.48,0.313,0,0.15,-14.32,2.11,-0.37,7.62,5.57,0.14800000000000002,-0.1059,0.96,0.0814,-0.1616,573150,769534000,1.25,0.0981,"2020-10-26T16:09:53.719Z"
"MWET3",45,-2.92,-0.42,0.603,0,0.545,-0.7,-9.48,-0.26,-17.05,-31.24,-0.0636,-0.2064,0.22,-0.0683,0.1438,63998.3,-220444000,-0.34,0.07,"2020-10-26T16:09:53.719Z"
"PNOR5",1.87,-2.9,0.55,0.354,0,0.205,0.7,8.52,-2.32,4.57,4.57,0.0415,-0.1174,2.5,0.0361,-0.1884,0,158071000,0.42,0.0134,"2020-10-26T16:09:53.719Z"
"PNOR6",1.87,-2.9,0.55,0.354,0,0.205,0.7,8.52,-2.32,4.57,4.57,0.0415,-0.1174,2.5,0.0361,-0.1884,0,158071000,0.42,0.0134,"2020-10-26T16:09:53.719Z"
"STRP4",0.21,-2.85,-0.43,0.416,0,0.111,-0.18,-0.45,-0.09,-1.15,-1.15,-0.9181999999999999,-0.1458,0.13,-0.25489999999999996,0.1495,0,-12498000,-0.66,-0.3639,"2020-10-26T16:09:53.719Z"
"APTI4",3500,-2.76,0.29,2.568,0,0.154,-7.93,-2.64,-0.46,-4.2,-6.22,-0.9743,-0.9299,0.88,-0.0608,-0.1052,0,229309000,0.24,-0.0843,"2020-10-26T16:09:53.719Z"
"BSEV3",4.43,-2.72,-3.42,0.604,0,0.364,-7.31,10.33,-0.51,27.08,5.04,0.0584,-0.22210000000000002,0.89,0.0387,1.2590000000000001,1250530,-1321250000,-5.87,0.0118,"2020-10-26T16:09:53.719Z"
"LIXC3",1.75,-2.62,1.52,395.995,0,0.069,0.28,-4.21,3.84,-6.37,-6.68,-94.1321,-143.868,1.34,-0.019,-0.5785,0,13842000,0.79,-0.759,"2020-10-26T16:09:53.719Z"
"BICB4",8.25,-2.43,2.21,0,0,0,0,0,0,0,0,0,0,0,0,-0.91,0,944626000,0,-0.3119,"2020-10-26T16:09:53.719Z"
"BICB3",8,-2.35,2.14,0,0,0,0,0,0,0,0,0,0,0,0,-0.91,0,944626000,0,-0.3119,"2020-10-26T16:09:53.719Z"
"FRIO3",64.01,-2.29,-8.43,0.187,0,0.147,-143.42,4.67,-0.57,20.29,10.57,0.04019999999999999,-0.076,1,0.0526,3.6784,502.49,-31172000,-40.41,0.09390000000000001,"2020-10-26T16:09:53.719Z"
"MNDL3",22.1,-2.25,-0.34,0.119,0,0.054,-0.08,2.05,-0.06,7,4.93,0.0582,-0.0529,0.26,0.0281,0.1505,66330.3,-161719000,-0.85,0.0354,"2020-10-26T16:09:53.719Z"
"ARLA4",3.38,-2.21,-0.62,2.137,0,0.442,-0.31,-6.74,-0.29,-17.87,-17.87,-0.3172,-0.9655,0.1,-0.1371,0.28,0,-24319000,-1.02,-0.4746,"2020-10-26T16:09:53.719Z"
"ECPR3",77,-2.18,0.99,0,0,0.541,0,-87.55,0,-86.88,-87.14,0,0,0,0,-0.4521,187.81,148244000,0,0,"2020-10-26T16:09:53.719Z"
"LIXC4",1.45,-2.17,1.26,328.11,0,0.057,0.23,-3.49,3.18,-5.65,-5.92,-94.1321,-143.868,1.34,-0.019,-0.5785,0,13842000,0.79,-0.759,"2020-10-26T16:09:53.719Z"
